Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04월 21일, SSG,6회초,김광현,2 박해민,4 (1-2),좌익수 플라이 아웃,무사 2:8,1사 2:8,0.26,0.538,-0.263,98.10%,-0.007
03월 30일, 키움,6회초,조상우,1 박해민,4 (2-1),유격수 플라이 아웃,무사 0:6,1사 0:6,0.26,0.536,-0.26,98.10%,-0.007
06월 02일, 두산,6회초,김강률,7 박해민,5 (1-2),1루수 땅볼 아웃,무사 4:0,1사 4:0,0.26,0.567,-0.27,8.60%,-0.007
03월 30일, 키움,8회초,김재웅,1 박해민,9 (3-2),3루수 직선타 아웃,무사 1:6,1사 1:6,0.27,0.536,-0.26,99.00%,-0.007
03월 24일, 한화,9회말,박상원,1 박해민,5 (2-2),중견수 희생플라이 아웃,1사 3루 8:3,2사 8:4,0.23,0.983,0.12,0.20%,-0.007
06월 02일, 두산,8회초,최지강,7 박해민,6 (3-2),헛스윙 삼진,2사 1루 4:1,이닝종료 4:1,0.25,0.243,-0.243,8.40%,-0.007
05월 12일, 롯데,9회초,전미르,1 박해민,2 (0-1),중견수 플라이 아웃,무사 6:4,1사 6:4,0.29,0.555,-0.268,8.10%,-0.008
05월 21일, 한화,4회초,문동주,2 박해민,8 (2-2),좌익수 플라이 아웃,1사 0:5,2사 0:5,0.31,0.293,-0.175,94.40%,-0.008
04월 03일, NC,4회말,이재학,1 박해민,4 (1-2),우익수 플라이 아웃,1사 1루 0:4,2사 1루 0:4,0.35,0.531,-0.31,90.70%,-0.009
04월 10일, KIA,6회초,곽도규,2 박해민,1 (0-0),유격수 플라이 아웃,2사 4:2,이닝종료 4:2,0.33,0.107,-0.107,25.50%,-0.009
04월 11일, KIA,3회초,크로우,2 박해민,4 (2-1),2루수 땅볼 아웃,2사 2:0,이닝종료 2:0,0.34,0.105,-0.105,32.30%,-0.009
04월 27일, KIA,8회말,유승철,1 박해민,5 (3-1),중견수 플라이 아웃,1사 2루 3:5,2사 2루 3:5,0.33,0.77,-0.385,93.70%,-0.01
05월 28일, SSG,2회초,김광현,2 박해민,4 (1-2),좌익수 파울플라이 아웃,1사 3:0,2사 3:0,0.39,0.295,-0.178,24.10%,-0.01
05월 31일, 두산,2회초,브랜든,8 박해민,5 (2-2),루킹 삼진,2사 1:0,이닝종료 1:0,0.39,0.12,-0.12,44.00%,-0.01
04월 23일, 삼성,2회초,레예스,8 박해민,4 (1-2),좌익수 플라이 아웃,2사 1:0,이닝종료 1:0,0.39,0.106,-0.106,44.00%,-0.01
05월 03일, 두산,7회말,김강률,2 박해민,4 (1-2),2루수 땅볼 아웃,1사 5:1,2사 5:1,0.43,0.282,-0.17,4.00%,-0.011
05월 29일, SSG,6회초,이기순,9 박해민,5 (1-2),루킹 삼진,무사 5:2,1사 5:2,0.43,0.566,-0.268,14.40%,-0.011
05월 04일, 두산,3회말,최준호,2 박해민,3 (0-2),좌익수 플라이 아웃,2사 2:0,이닝종료 2:0,0.46,0.113,-0.113,26.70%,-0.012
04월 09일, KIA,3회초,네일,2 박해민,4 (1-2),루킹 삼진,2사 0:0,이닝종료 0:0,0.46,0.115,-0.115,55.50%,-0.012
05월 29일, SSG,2회초,송영진,9 박해민,6 (3-2),좌익수 플라이 아웃,1사 2:0,2사 2:0,0.49,0.298,-0.179,32.90%,-0.012
06월 02일, 두산,4회초,김유성,7 박해민,3 (0-2),우익수 플라이 아웃,무사 3:0,1사 3:0,0.5,0.567,-0.27,19.50%,-0.013
04월 13일, 두산,6회초,이병헌,2 박해민,4 (2-1),좌익수 플라이 아웃,2사 1루 1:5,이닝종료 1:5,0.48,0.24,-0.24,95.30%,-0.014
04월 21일, SSG,2회초,오원석,7 박해민,2 (0-1),2루수 플라이 아웃,1사 0:3,2사 0:3,0.55,0.275,-0.169,81.60%,-0.014
04월 05일, KT,4회말,원상현,1 박해민,10 (3-2),헛스윙 삼진,2사 4:3,이닝종료 4:3,0.55,0.113,-0.113,35.90%,-0.014
03월 30일, 키움,3회초,하영민,1 박해민,4 (2-1),중견수 플라이 아웃,1사 0:3,2사 0:3,0.58,0.276,-0.168,83.40%,-0.014
05월 14일, 키움,8회말,문성현,1 박해민,5 (2-2),좌익수 플라이 아웃,무사 1루 5:0,1사 1루 5:0,0.65,0.978,-0.431,2.10%,-0.015
